,x,y,z,r,v,theta,phi,t
0,0.16301619964508826,-0.5260460104840009,0.7548878163929331,0.0,9377686.31052501,0.5235987755982988,0.0,2.2282706846548737e-06
1,0.262307682918804,-0.6193403031851717,0.6833420681802711,0.0,9377686.31052501,0.5235987755982988,1.5707963267948966,2.2282967230817005e-06
2,0.27797903176088384,-0.594665428452948,0.7696219224398002,0.0,9377686.31052501,0.5235987755982988,3.141592653589793,2.228220350474918e-06
3,0.3581868220756002,-0.4522073826048483,0.7865418857871327,0.0,9377686.31052501,0.5235987755982988,4.71238898038469,2.2284564672901627e-06
4,0.2571261155073178,-0.4676929373131237,0.8118739861190132,0.0,9377686.31052501,1.2217304763960306,0.0,2.2282966388259145e-06
5,0.22101158298433013,-0.5546790272815547,0.7768396328459358,0.0,9377686.31052501,1.2217304763960306,1.5707963267948966,2.2280808757723124e-06
6,0.27868054859599484,-0.554150786571583,0.795441527322182,0.0,9377686.31052501,1.2217304763960306,3.141592653589793,2.2282779611689046e-06
7,0.3262694673846774,-0.4150424602904368,0.8282193159654468,0.0,9377686.31052501,1.2217304763960306,4.71238898038469,2.2282159216889183e-06
8,0.2599260874186393,-0.38013130168567055,0.8407059263688712,0.0,9377686.31052501,1.9198621771937625,0.0,2.2285049856646254e-06
9,0.2631506155422075,-0.4352323246861138,0.8567107524197577,0.0,9377686.31052501,1.9198621771937625,1.5707963267948966,2.228186113311519e-06
10,0.23066079362903716,-0.5805936636103785,0.7635883963879608,0.0,9377686.31052501,1.9198621771937625,3.141592653589793,2.228638598278372e-06
11,0.28322240166528617,-0.4448629336536738,0.5871166120475715,0.0,9377686.31052501,1.9198621771937625,4.71238898038469,2.2282272157247873e-06
12,0.3014132773636588,-0.4112901924809561,0.8730013841651226,0.0,9377686.31052501,2.6179938779914944,0.0,2.2281017379434064e-06
13,0.27613109039081846,-0.4150397182914481,0.8581009238233006,0.0,9377686.31052501,2.6179938779914944,1.5707963267948966,2.2282815438594517e-06
14,0.24324803654288837,-0.5134534363815147,0.7726607038237009,0.0,9377686.31052501,2.6179938779914944,3.141592653589793,2.2286106412578183e-06
15,0.18313738134310847,-0.5790218045478164,0.5034220146894961,0.0,9377686.31052501,2.6179938779914944,4.71238898038469,2.228248940342999e-06
16,0.3999545144445671,-0.37010949678478644,0.7397807478835421,0.0625,9377686.31052501,0.5235987755982988,0.0,2.2286757365160582e-06
